drugId,name,effects,nature,molecularTargets,drugClass,status,source,brandNames,references
"HCM0011","PINDOLOL","It is frequently used to treat angina (chest discomfort) and hypertension (high blood pressure). Hypertrophic Cardiomyopathy (HCM) is not routinely treated with it, though. Symptom relief and lowering the risk of complications are the main management objectives for HCM.","Synthetic","Both beta-1 and beta-2 adrenergic receptorsÃ‚Â are antagonistically affected by pindolol. Pindolol binds to these receptors and prevents adrenaline and noradrenaline (catecholamines) from attaching, hence reducing the activation of these receptors.","Beta Blocker","This drug is FDA approved.","Synthesized compound","Visken, Pindolol, Viskaldix","Isrodipine: further reduces BP in hypertensive patients on pindolol. (1987, March). InPharma, 579(1), 5Ã¢â‚¬â€œ6. https://doi.org/10.1007/bf03305716; PINDOLOL + CLOPAMIDE IN HYPERTENSION. (1982, March). InPharma, 328(1), 9Ã¢â‚¬â€œ9. https://doi.org/10.1007/bf03300131; PINDOLOL; the non-selective ÃŽÂ²-blocker. (1983, February). InPharma, 374(1), 19Ã¢â‚¬â€œ20. https://doi.org/10.1007/bf03302858; Abrahamsson, T., & Nerme, V. (1987, February). ÃŽÂ²1- and ÃŽÂ²2-Adrenoceptor Affinity and Stimulatory Effects of (S)-Pindolol and Iodinated (S)-Pindolol. Pharmacology & Toxicology, 60(2), 120Ã¢â‚¬â€œ124. https://doi.org/10.1111/j.1600-0773.1987.tb01509.x; &NA; (2006, May). Cilazapril/pindolol. Reactions Weekly, NA;(1103), 6. https://doi.org/10.2165/00128415-200611030-00013; PietilÃƒÂ¤inen, H., Saesmaa, T., & Tanninen, V. P. (1996, January). Synthesis and Physical Studies of the Organic Salts of Pindolol: Pindolol Benzoate and Pindolol 2-Methoxyphenylacetate. Drug Development and Industrial Pharmacy, 22(11), 1063Ã¢â‚¬â€œ1073. https://doi.org/10.3109/03639049609065942; Pindolol. (1986, September). Reactions, 152(1), 8Ã¢â‚¬â€œ8. https://doi.org/10.1007/bf03268315; &NA; (1990, November). Pindolol see Atenolo/pindolol. Reactions Weekly, NA;(325), 11. https://doi.org/10.2165/00128415-199003250-00051; Dimitrow, P. P., & Dubiel, J. S. (1993, February). Effects on left ventricular function of pindolol added to verapamil in hypertrophic cardiomyopathy. The American Journal of Cardiology, 71(4), 313Ã¢â‚¬â€œ316. https://doi.org/10.1016/0002-9149(93)90797-g;"
"HCM0012","BETAXOLOL","Although beta-blockers are sometimes utilized in the therapy of HCM to reduce symptoms and enhance cardiac function, betaxolol is not explicitly prescribed for the treatment of HCM.","Synthetic","In cardiac muscle cells, it competitively binds to beta-1 adrenergic receptors and blocks the binding of the stress hormones norepinephrine and epinephrine to these receptors. This inhibition prevents beta-adrenergic receptor stimulation from activating intracellular signalling pathways.","Beta blocker","This drug is FDA approved.","Synthesized compound","Kerlone","Nistri, S., Olivotto, I., Maron, M.S., Tarantini, L., CorrÃƒÂ , U., Vargiu, D., ... Cecchi, F. (2012). Beta blockers for prevention of exercise-induced left ventricular outflow tract obstruction in patients with hypertrophic cardiomyopathy. American Journal of Cardiology, 109(10), 1432-1436; Sherrid, M.V., Barac, I., McKenna, W.J., Elliott, P.M., Dickie, S., Chojnowska, L., ... Maron, B.J. (2005). Multicenter study of the efficacy and safety of disopyramide in obstructive hypertrophic cardiomyopathy. Journal of the American College of Cardiology, 45(8), 1251-1258; Morganroth, J., Dimarco, J.P., Prough, D.S., Workman, R.J., Petoskey, E.L. (1982). Betaxolol, a new beta1-adrenoceptor antagonist: tolerability in patients with chronic obstructive pulmonary disease. British Journal of Clinical Pharmacology, 14(3), 345-349."
"HCM0013","PENBUTOLOL","Shortness of breath, palpitations, and chest pain (angina) are HCM symptoms that can be treated with penbutolol. It can lessen the force and frequency of heart contractions by inhibiting beta receptors in the heart, which enhances the heart's capacity to pump blood effectively. Rreduceeduce","Synthetic","Penbutolol prevents norepinephrine and adrenaline (a hormone) from binding to these receptors by inhibiting the ÃŽÂ²1 receptors. By doing so, the sympathetic stimulation that raises blood pressure, heart rate, and contractility is lessened.","Beta blocker","This drug is FDA approved.","Synthesized compound","Levatol","Lewis, G.R., Morley, K.D., Masood, S., Singh, B.M., Missing, C.W., Kam, P.C. (2015). Perioperative use of metoprolol and atenolol in primary coronary artery bypass surgery. Anaesthesia & Intensive Care, 43(6), 745-755; van Brummelen, P., Man in 't Veld, A. J., Schalekamp, M. A. (1980). Hemodynamic changes during long-term penbutolol treatment in essential hypertension. Clinical pharmacology and therapeutics, 27(3), 336-342."
"HCM0014","OXPRENOLOL","The beta-adrenergic receptors in the heart are blocked by oxyprenolol, which lowers heart rate and myocardial contractility. The excessive burden on the heart is lessened by oxprenolol by lowering the force of contractions.","Synthetic","Oxprenolol prevents norepinephrine and adrenaline from binding to these receptors by inhibiting the beta-1 receptors. This lessens sympathetic activation, which raises blood pressure, heart rate, and contractility.","Beta blocker","This drug is FDA approved.","Synthesized compound","Trasacor, Slow-trasicor, Trasicor","Shirani J, Pick R, Roberts WC, Maron BJ. Morphology and significance of the left ventricular collagen network in young patients with hypertrophic cardiomyopathy and sudden cardiac death. J Am Coll Cardiol. 2000 Jan;35(1):36-44. doi: 10.1016/s0735-1097(99)00499-9. PMID: 10636269.; Spirito P, Bellone P, Harris KM, Bernabo P, Bruzzi P, Maron BJ. Magnitude of left ventricular hypertrophy and risk of sudden death in hypertrophic cardiomyopathy. N Engl J Med. 2000 Jun 15;342(24):1778-85. doi: 10.1056/NEJM200006153422403. PMID: 10853004.; Maron BJ, Olivotto I, Bellone P, Conte MR, Cecchi F, Flygenring BP, Casey SA, Gohman TE, Bongioanni S, Spirito P. Clinical profile of stroke in 900 patients with hypertrophic cardiomyopathy. J Am Coll Cardiol. 2002 Jul 3;40(1):301-7. doi: 10.1016/s0735-1097(02)01968-x. PMID: 12103270.; Olivotto I, Maron MS, Adabag AS, Casey SA, Vargiu D, Link MS, Udelson JE, Cecchi F, Maron BJ. Gender-related differences in the clinical presentation and outcome of hypertrophic cardiomyopathy. J Am Coll Cardiol. 2005 Aug 16;46(4):480-7. doi: 10.1016/j.jacc.2005.05.013. PMID: 16098415."
"HCM0015","BEVANTOLOL","For the treatment of angina pectoris and hypertension, bevantolol, a beta-1 adrenoceptor antagonist, has been proven to be just as effective as other beta blockers.","Synthetic","For the treatment of angina pectoris and hypertension, bevantolol, a beta-1 adrenoceptor antagonist, has been proven to be just as effective as other beta blockers.","Beta blocker","This drug is FDA approved.","Synthesized compound","Ducardon, Vasocor, Bevolol, Bevantol, Bevacor, Bevantolol, Vascor, Bevatol, Bevanolol, Bevacorol, Bevantololo","Bonow RO, Rosing DR, Bacharach SL, et al. Effects of verapamil on left ventricular systolic function and diastolic filling in patients with hypertrophic cardiomyopathy. Circulation. 1981;64:787-796. doi:10.1161/01.CIR.64.4.787; Epstein SE, Rosing DR. Verapamil: its potential for causing serious complications in patients with hypertrophic cardiomyopathy. Circulation. 1981;64:437-441. doi:10.1161/01.cir.64.3.437 ; Rosing DR, Kent KM, Maron BJ, Epstein SE. Verapamil therapy: a new approach to the pharmacologic treatment of hypertrophic cardiomyopathy. I. Hemodynamic effects. Circulation. 1979;60:1201-1210. doi:10.1161/01.CIR.60.6.1201; Lele SS, Thomson HL, Seo H, Belenkie I, McKenna WJ, Frenneaux MP. Exercise capacity in hypertrophic cardiomyopathy. Role of stroke volume limitation, heart rate, and diastolic filling characteristics. Circulation. 1995;92:2886-2894. doi:10.1161/01.cir.92.10.2886"
"HCM0016","TERTATOLOL","Tertatolol, a beta-blocker drug, is used to treat a number of cardiovascular diseases, such as hypertension (high blood pressure) and specific kinds of arrhythmias (irregular heart rhythms). The effects of tertatolol on hypertrophic cardiomyopathy (HCM) specifically, however, have not been extensively investigated or verified.","Synthetic","Tertatolol, a beta-blocker drug, is used to treat a number of cardiovascular diseases, such as hypertension (high blood pressure) and specific kinds of arrhythmias (irregular heart rhythms). The effects of tertatolol on hypertrophic cardiomyopathy (HCM) specifically, however, have not been extensively investigated or verified.","Beta blocker","This drug is FDA approved.","Synthesized compound","Artex, Retatol, Tertenol, Tertaco,r Tertatol, Tertahexal, Tertatolol, Ritatol, Tertablock","N/A"
"HCM0017","CELIPROLOL","Hypertrophic cardiomyopathy is treated with it on occasion.","Synthetic","Celiprolol interacts with beta-1 receptors, which are found in the heart and other organs, as part of its particular chemical mode of action. Celiprolol competently reduces the binding of catecholamines such as adrenaline and others by inhibiting these receptors, reducing their stimulating effects on the heart and blood vessels.","Beta blocker","This drug is FDA approved.","Synthesized compound","Celipres, Celipro, Celiprolol, Selectol, Celipresil, Celol, Dilacor, Celiprax, Celip, Celiprolo","N/A"
"HCM0018","BUCINDOLOL","Bucindolol's exact effects in HCM are not fully understood. The exact function of Bucindolol is not clear yet. But this medication is under trials.","Synthetic","Bucindolol's exact effects in HCM are not fully understood.","Beta blocker","This drug is FDA approved.","Synthesized compound","Bucicor, Bucindolol, Bucin, Bucinol, Bucind, Bucindololo, Bucinolol, Bucicorol, Buccoron","N/A"
"HCM0019","XAMOTEROL","A beta-1 adrenergic receptor agonist like Xamoterol functions by specifically activating these receptors in the heart. The cardiac muscle's contractility and heart rate may both increase as a result of this stimulation. However, it is typically not advised to utilise beta-1 agonists in HCM since they could exacerbate the condition's already elevated contractility and dynamic outflow blockage.","Synthetic","A beta-1 adrenergic receptor agonist like Xamoterol functions by specifically activating these receptors in the heart. The cardiac muscle's contractility and heart rate may both increase as a result of this stimulation. However, it is typically not advised to utilise beta-1 agonists in HCM since they could exacerbate the condition's already elevated contractility and dynamic outflow blockage.","Beta blocker","This drug is not FDA approved.","Synthesized compound","Corwin, Xamamir, Xamol, Xamoterol, Xamox, Xamolol, Xamter, Xamolono, Xamoxan","N/A"
"HCM0020","PRACTOLOL","Practolol was originally used to treat diseases like hypertension and specific heart rhythm problems. However, due to worries about its possible negative effects, it has mostly been discontinued and is no longer frequently recommended.","Synthetic","N/A","Beta blocker","This drug is not FDA approved.","Synthesized compound","Pralon, Practol, Pracguard, Practolol, Pracit, Practal, Practomed, Pralox, Pratic","N/A"
